episode_name_nohomers|episode_link_nohomers|episode_name_norm|episode_name_wikisimpsons|episode_link_wikisimpsons|episode_season
Like Father, Like Clown|https://nohomers.net/forums/index.php?threads/rate-review-like-father-like-clown.23184/|LIKEFARLIKECLOWN|Like Father, Like Clown|https://simpsonswiki.com/wiki/Like_Father,_Like_Clown|3.0
Treehouse of Horror II|https://nohomers.net/forums/index.php?threads/r-r-treehouse-of-horror-ii.17311/|TREEHOUSEOFHORRORII|Treehouse of Horror II|https://simpsonswiki.com/wiki/Treehouse_of_Horror_II|3.0
Lisa's Pony|https://nohomers.net/forums/index.php?threads/r-r-lisas-pony.23482/|LISASPONY|Lisa's Pony|https://simpsonswiki.com/wiki/Lisa%27s_Pony|3.0
Saturdays of Thunder|https://nohomers.net/forums/index.php?threads/rate-and-review-saturdays-of-thunder.13383/|SATURDAYSOFTHUNDER|Saturdays of Thunder|https://simpsonswiki.com/wiki/Saturdays_of_Thunder|3.0
Flaming Moe's|https://nohomers.net/forums/index.php?threads/r-r-flaming-moes.19588/|FLAMINGMOES|Flaming Moe's|https://simpsonswiki.com/wiki/Flaming_Moe%27s|3.0
Burns Verkaufen Der Kraftwerk|https://nohomers.net/forums/index.php?threads/r-r-burns-verkaufen-der-kraftwerk.14069/|BURNSVERKAUFENDERKRAFTWERK|Burns Verkaufen der Kraftwerk|https://simpsonswiki.com/wiki/Burns_Verkaufen_der_Kraftwerk|3.0
I Married Marge|https://nohomers.net/forums/index.php?threads/ratenreview-i-married-marge.13698/|IMARRIEDMARGE|I Married Marge|https://simpsonswiki.com/wiki/I_Married_Marge|3.0
Radio Bart|https://nohomers.net/forums/index.php?threads/r-r-radio-bart.19563/|RADIOBART|Radio Bart|https://simpsonswiki.com/wiki/Radio_Bart|3.0
Lisa The Greek|https://nohomers.net/forums/index.php?threads/r-r-lisa-the-greek.19485/|LISAGREEK|Lisa the Greek|https://simpsonswiki.com/wiki/Lisa_the_Greek|3.0
Homer Alone|https://nohomers.net/forums/index.php?threads/r-r-homer-alone.23474/|HOMERALONE|Homer Alone|https://simpsonswiki.com/wiki/Homer_Alone|3.0
Bart the Lover|https://nohomers.net/forums/index.php?threads/r-r-bart-the-lover.14017/|BARTLOVER|Bart the Lover|https://simpsonswiki.com/wiki/Bart_the_Lover|3.0
Homer at the Bat|https://nohomers.net/forums/index.php?threads/r-r-homer-at-the-bat.19287/|HOMERATBAT|Homer at the Bat|https://simpsonswiki.com/wiki/Homer_at_the_Bat|3.0
Separate Vocations|https://nohomers.net/forums/index.php?threads/r-r-separate-vocations.15680/|SEPARATEVOCATIONS|Separate Vocations|https://simpsonswiki.com/wiki/Separate_Vocations|3.0
Dog Of Death|https://nohomers.net/forums/index.php?threads/r-r-dog-of-death.23339/|DOGOFDEATH|Dog of Death|https://simpsonswiki.com/wiki/Dog_of_Death|3.0
Colonel Homer|https://nohomers.net/forums/index.php?threads/r-r-colonel-homer.16342/|COLONELHOMER|Colonel Homer|https://simpsonswiki.com/wiki/Colonel_Homer|3.0
Black Widower|https://nohomers.net/forums/index.php?threads/r-r-black-widower.19035/|BLACKWIDOWER|Black Widower|https://simpsonswiki.com/wiki/Black_Widower|3.0
The Otto Show|https://nohomers.net/forums/index.php?threads/r-r-the-otto-show.20012/|OTTOSHOW|The Otto Show|https://simpsonswiki.com/wiki/The_Otto_Show|3.0
Bart's Friend Falls in Love|https://nohomers.net/forums/index.php?threads/rate-review-barts-friend-falls-in-love.13971/|BARTSFRIENDFALLSINLOVE|Bart's Friend Falls in Love|https://simpsonswiki.com/wiki/Bart%27s_Friend_Falls_in_Love|3.0
Brother Can You Spare Two Dimes?|https://nohomers.net/forums/index.php?threads/rate-and-review-brother-can-you-spare-me-2-dimes.19749/|BRORCANYOUSPARETWODIMES|Brother, Can You Spare Two Dimes?|https://simpsonswiki.com/wiki/Brother,_Can_You_Spare_Two_Dimes%3F|3.0
Kamp Krusty|https://nohomers.net/forums/index.php?threads/rate-and-review-kamp-krusty.16233/|KAMPKRUSTY|Kamp Krusty|https://simpsonswiki.com/wiki/Kamp_Krusty|4.0
A Streetcar Named Marge|https://nohomers.net/forums/index.php?threads/rate-and-review-a-streetcar-named-marge.16241/|ASTREETCARNAMEDMARGE|A Streetcar Named Marge|https://simpsonswiki.com/wiki/A_Streetcar_Named_Marge|4.0
Homer the Heretic|https://nohomers.net/forums/index.php?threads/rate-and-review-homer-the-heretic.16252/|HOMERHERETIC|Homer the Heretic|https://simpsonswiki.com/wiki/Homer_the_Heretic|4.0
Lisa the Beauty Queen|https://nohomers.net/forums/index.php?threads/rate-and-review-lisa-the-beauty-queen.16254/|LISABEAUTYQUEEN|Lisa the Beauty Queen|https://simpsonswiki.com/wiki/Lisa_the_Beauty_Queen|4.0
Treehouse of Horror III|https://nohomers.net/forums/index.php?threads/rate-and-review-treehouse-of-horror-iii.16267/|TREEHOUSEOFHORRORIII|Treehouse of Horror III|https://simpsonswiki.com/wiki/Treehouse_of_Horror_III|4.0
Itchy & Scratchy: The Movie|https://nohomers.net/forums/index.php?threads/rate-and-review-itchy-and-scratchy-the-movie.16274/|ITCHYSCRATCHYMOVIE|Itchy & Scratchy: The Movie|https://simpsonswiki.com/wiki/Itchy_%26_Scratchy:_The_Movie|4.0
Marge Gets a Job|https://nohomers.net/forums/index.php?threads/rate-and-review-marge-gets-a-job.16285/|MARGEGETSAJOB|Marge Gets a Job|https://simpsonswiki.com/wiki/Marge_Gets_a_Job|4.0
New Kid on the Block|https://nohomers.net/forums/index.php?threads/rate-and-review-new-kid-on-the-block.16300/|NEWKIDONBLOCK|New Kid on the Block|https://simpsonswiki.com/wiki/New_Kid_on_the_Block|4.0
Mr. Plow|https://nohomers.net/forums/index.php?threads/rate-and-review-mr-plow.16305/|MRPLOW|Mr. Plow|https://simpsonswiki.com/wiki/Mr._Plow|4.0
Lisa's First Word|https://nohomers.net/forums/index.php?threads/rate-and-review-lisas-first-word.16308/|LISASFIRSTWORD|Lisa's First Word|https://simpsonswiki.com/wiki/Lisa%27s_First_Word|4.0
Homer's Triple Bypass|https://nohomers.net/forums/index.php?threads/rate-and-review-homers-triple-bypass.16343/|HOMERSTRIPLEBYPASS|Homer's Triple Bypass|https://simpsonswiki.com/wiki/Homer%27s_Triple_Bypass|4.0
Marge vs. the Monorail|https://nohomers.net/forums/index.php?threads/rate-and-review-marge-vs-the-monorail.16361/|MARGEVSMONORAIL|Marge vs. the Monorail|https://simpsonswiki.com/wiki/Marge_vs._the_Monorail|4.0
Selma's Choice|https://nohomers.net/forums/index.php?threads/rate-and-review-selmas-choice.16371/|SELMASCHOICE|Selma's Choice|https://simpsonswiki.com/wiki/Selma%27s_Choice|4.0
Brother From the Same Planet|https://nohomers.net/forums/index.php?threads/r-r-brother-from-the-same-planet.21303/|BRORFROMSAMEPLANET|Brother from the Same Planet|https://simpsonswiki.com/wiki/Brother_from_the_Same_Planet|4.0
I Love Lisa|https://nohomers.net/forums/index.php?threads/rate-and-review-i-love-lisa.16410/|ILOVELISA|I Love Lisa|https://simpsonswiki.com/wiki/I_Love_Lisa|4.0
Duffless|https://nohomers.net/forums/index.php?threads/rate-and-review-duffless.16413/|DUFFLESS|Duffless|https://simpsonswiki.com/wiki/Duffless|4.0
Last Exit to Springfield|https://nohomers.net/forums/index.php?threads/r-r-last-exit-to-springfield.13766/|LASTEXITTOSPRINGFIELD|Last Exit to Springfield|https://simpsonswiki.com/wiki/Last_Exit_to_Springfield|4.0
So It's Come To This: A Simpsons Clip Show|https://nohomers.net/forums/index.php?threads/rate-review-so-its-come-to-this-a-simpsons-clip-show.11587/|SOITSCOMETOTHISASIMPSONCLIPSHOW|So It's Come to This: A Simpsons Clip Show|https://simpsonswiki.com/wiki/So_It%27s_Come_to_This:_A_Simpsons_Clip_Show|4.0
The Front|https://nohomers.net/forums/index.php?threads/rate-review-the-front.10871/|FRONT|The Front|https://simpsonswiki.com/wiki/The_Front|4.0
Whacking Day|https://nohomers.net/forums/index.php?threads/rate-and-review-whacking-day.16479/|WHACKINGDAY|Whacking Day|https://simpsonswiki.com/wiki/Whacking_Day|4.0
Marge in Chains|https://nohomers.net/forums/index.php?threads/rate-and-review-marge-in-chains.16490/|MARGEINCHAINS|Marge in Chains|https://simpsonswiki.com/wiki/Marge_in_Chains|4.0
Krusty Gets Kancelled|https://nohomers.net/forums/index.php?threads/rate-review-krusty-gets-kancelled.22940/|KRUSTYGETSKANCELLED|Krusty Gets Kancelled|https://simpsonswiki.com/wiki/Krusty_Gets_Kancelled|4.0
Homer's Barbershop Quartet|https://nohomers.net/forums/index.php?threads/rate-review-homers-barbershop-quartet.22955/|HOMERSBARBERSHOPQUARTET|Homer's Barbershop Quartet|https://simpsonswiki.com/wiki/Homer%27s_Barbershop_Quartet|5.0
Cape Feare|https://nohomers.net/forums/index.php?threads/rate-review-cape-feare.12941/|CAPEFEARE|Cape Feare|https://simpsonswiki.com/wiki/Cape_Feare|5.0
Homer Goes To College|https://nohomers.net/forums/index.php?threads/r-r-homer-goes-to-college.19350/|HOMERGOESTOCOLLEGE|Homer Goes to College|https://simpsonswiki.com/wiki/Homer_Goes_to_College|5.0
Rosebud|https://nohomers.net/forums/index.php?threads/r-r-rosebud-most-absurd-episode-ever.17788/|ROSEBUD|Rosebud|https://simpsonswiki.com/wiki/Rosebud|5.0
Treehouse Of Horror IV|https://nohomers.net/forums/index.php?threads/rate-review-treehouse-of-horror-iv.12297/|TREEHOUSEOFHORRORIV|Treehouse of Horror IV|https://simpsonswiki.com/wiki/Treehouse_of_Horror_IV|5.0
Marge On The Lam|https://nohomers.net/forums/index.php?threads/r-r-marge-on-the-lam.20330/|MARGEONLAM|Marge on the Lam|https://simpsonswiki.com/wiki/Marge_on_the_Lam|5.0
Bart's Inner Child|https://nohomers.net/forums/index.php?threads/r-r-barts-inner-child.15461/|BARTSINNERCHILD|Bart's Inner Child|https://simpsonswiki.com/wiki/Bart%27s_Inner_Child|5.0
Boy-Scoutz 'n the Hood|https://nohomers.net/forums/index.php?threads/rate-and-review-boy-scoutz-n-the-hood-1f06.13438/|BOYSCOUTZNHOOD|Boy-Scoutz 'n the Hood|https://simpsonswiki.com/wiki/Boy-Scoutz_%27n_the_Hood|5.0
The Last Temptation of Homer|https://nohomers.net/forums/index.php?threads/r-r-the-last-temptation-of-homer.17591/|LASTTEMPTATIONOFHOMER|The Last Temptation of Homer|https://simpsonswiki.com/wiki/The_Last_Temptation_of_Homer|5.0
$pringfield (Or, How I Learned to Stop Worrying and Love Legalized Gambling)|https://nohomers.net/forums/index.php?threads/rate-review-pringfield.13233/|$PRINGFIELD(ORHOWILEARNEDTOSTOPWORRYINGLOVELEGALIZEDGAMBLING)|$pringfield (Or, How I Learned to Stop Worrying and Love Legalized Gambling)|https://simpsonswiki.com/wiki/$pringfield_(Or,_How_I_Learned_to_Stop_Worrying_and_Love_Legalized_Gambling)|5.0
Homer the Vigilante|https://nohomers.net/forums/index.php?threads/rate-review-homer-the-vigilante.12734/|HOMERVIGILANTE|Homer the Vigilante|https://simpsonswiki.com/wiki/Homer_the_Vigilante|5.0
Bart Gets Famous|https://nohomers.net/forums/index.php?threads/r-r-bart-gets-famous.21119/|BARTGETSFAMOUS|Bart Gets Famous|https://simpsonswiki.com/wiki/Bart_Gets_Famous|5.0
Homer and Apu|https://nohomers.net/forums/index.php?threads/r-r-homer-and-apu.21047/|HOMERAPU|Homer and Apu|https://simpsonswiki.com/wiki/Homer_and_Apu|5.0
Lisa vs. Malibu Stacy|https://nohomers.net/forums/index.php?threads/r-r-lisa-vs-malibu-stacy.20090/|LISAVSMALIBUSTACY|Lisa vs. Malibu Stacy|https://simpsonswiki.com/wiki/Lisa_vs._Malibu_Stacy|5.0
Deep Space Homer|https://nohomers.net/forums/index.php?threads/r-r-deep-space-homer.13822/|DEEPSPACEHOMER|Deep Space Homer|https://simpsonswiki.com/wiki/Deep_Space_Homer|5.0
Homer Loves Flanders|https://nohomers.net/forums/index.php?threads/rate-review-homer-loves-flanders.17919/|HOMERLOVESFLERS|Homer Loves Flanders|https://simpsonswiki.com/wiki/Homer_Loves_Flanders|5.0
Bart Gets an Elephant|https://nohomers.net/forums/index.php?threads/rate-review-bart-gets-an-elephant.18716/|BARTGETSANELEPHANT|Bart Gets an Elephant|https://simpsonswiki.com/wiki/Bart_Gets_an_Elephant|5.0
Burns' Heir|https://nohomers.net/forums/index.php?threads/rate-review-burns-heir.22091/|BURNSHEIR|Burns' Heir|https://simpsonswiki.com/wiki/Burns%27_Heir|5.0
Sweet Seymour Skinner's Baadasssss Song|https://nohomers.net/forums/index.php?threads/r-r-sweet-seymour-skinners-baadasssss-song.18642/|SWEETSEYMOURSKINNERSBAADASSSSSSONG|Sweet Seymour Skinner's Baadasssss Song|https://simpsonswiki.com/wiki/Sweet_Seymour_Skinner%27s_Baadasssss_Song|5.0
The Boy Who Knew Too Much|https://nohomers.net/forums/index.php?threads/rate-and-review-the-boy-who-knew-too-much.18167/|BOYWHOKNEWTOOMUCH|The Boy Who Knew Too Much|https://simpsonswiki.com/wiki/The_Boy_Who_Knew_Too_Much|5.0
Lady Bouvier's Lover|https://nohomers.net/forums/index.php?threads/rate-review-lady-bouviers-lover.23329/|LADYBOUVIERSLOVER|Lady Bouvier's Lover|https://simpsonswiki.com/wiki/Lady_Bouvier%27s_Lover|5.0
Secrets of a Successful Marriage|https://nohomers.net/forums/index.php?threads/r-r-secrets-of-a-successful-marriage.23065/|SECRETSOFASUCCESSFULMARRIAGE|Secrets of a Successful Marriage|https://simpsonswiki.com/wiki/Secrets_of_a_Successful_Marriage|5.0
Bart Of Darkness|https://nohomers.net/forums/index.php?threads/r-r-bart-of-darkness.18696/|BARTOFDARKNESS|Bart of Darkness|https://simpsonswiki.com/wiki/Bart_of_Darkness|6.0
Lisa's Rival|https://nohomers.net/forums/index.php?threads/rate-review-lisas-rival.21395/|LISASRIVAL|Lisa's Rival|https://simpsonswiki.com/wiki/Lisa%27s_Rival|6.0
Another Simpsons Clip Show|https://nohomers.net/forums/index.php?threads/rate-review-another-simpsons-clip-show.20651/|ANORSIMPSONCLIPSHOW|Another Simpsons Clip Show|https://simpsonswiki.com/wiki/Another_Simpsons_Clip_Show|6.0
Itchy and Scratchy Land|https://nohomers.net/forums/index.php?threads/r-r-itchy-and-scratchy-land.22786/|ITCHYSCRATCHYL|Itchy & Scratchy Land|https://simpsonswiki.com/wiki/Itchy_%26_Scratchy_Land|6.0
Sideshow Bob Roberts|https://nohomers.net/forums/index.php?threads/rate-and-review-sideshow-bob-roberts.20030/|SIDESHOWBOBROBERTS|Sideshow Bob Roberts|https://simpsonswiki.com/wiki/Sideshow_Bob_Roberts|6.0
Treehouse Of Horror V|https://nohomers.net/forums/index.php?threads/r-r-for-treehouse-of-horror-v.23488/|TREEHOUSEOFHORRORV|Treehouse of Horror V|https://simpsonswiki.com/wiki/Treehouse_of_Horror_V|6.0
Bart's Girlfriend|https://nohomers.net/forums/index.php?threads/rate-and-review-barts-girlfriend.23018/|BARTSGIRLFRIEND|Bart's Girlfriend|https://simpsonswiki.com/wiki/Bart%27s_Girlfriend|6.0
Lisa On Ice|https://nohomers.net/forums/index.php?threads/rate-and-review-lisa-on-ice.20299/|LISAONICE|Lisa on Ice|https://simpsonswiki.com/wiki/Lisa_on_Ice|6.0
Homer: Badman|https://nohomers.net/forums/index.php?threads/r-r-homer-badman.18290/|HOMERBADMAN|Homer Badman|https://simpsonswiki.com/wiki/Homer_Badman|6.0
Grampa vs Sexual Inadequacy|https://nohomers.net/forums/index.php?threads/rate-review-grampa-vs-sexual-inadequacy.10554/|GRAMPAVSSEXUALINADEQUACY|Grampa vs. Sexual Inadequacy|https://simpsonswiki.com/wiki/Grampa_vs._Sexual_Inadequacy|6.0
Fear Of Flying|https://nohomers.net/forums/index.php?threads/rate-and-review-fear-of-flying.18311/|FEAROFFLYING|Fear of Flying|https://simpsonswiki.com/wiki/Fear_of_Flying|6.0
Homer the Great|https://nohomers.net/forums/index.php?threads/homer-the-great.19626/|HOMERGREAT|Homer the Great|https://simpsonswiki.com/wiki/Homer_the_Great|6.0
And Maggie Makes Three|https://nohomers.net/forums/index.php?threads/rate-review-and-maggie-makes-three.13713/|MAGGIEMAKESTHREE|And Maggie Makes Three|https://simpsonswiki.com/wiki/And_Maggie_Makes_Three|6.0
Bart's Comet|https://nohomers.net/forums/index.php?threads/barts-comet.21479/|BARTSCOMET|Bart's Comet|https://simpsonswiki.com/wiki/Bart%27s_Comet|6.0
Homie The Clown|https://nohomers.net/forums/index.php?threads/rate-and-review-homie-the-clown.14598/|HOMIECLOWN|Homie the Clown|https://simpsonswiki.com/wiki/Homie_the_Clown|6.0
Bart vs Australia|https://nohomers.net/forums/index.php?threads/rate-and-review-bart-vs-australia.13118/|BARTVSAUSTRALIA|Bart vs. Australia|https://simpsonswiki.com/wiki/Bart_vs._Australia|6.0
Homer vs. Patty & Selma|https://nohomers.net/forums/index.php?threads/rate-and-review-homer-vs-patty-and-selma.23335/|HOMERVSPATTYSELMA|Homer vs. Patty and Selma|https://simpsonswiki.com/wiki/Homer_vs._Patty_and_Selma|6.0
A Star is Burns|https://nohomers.net/forums/index.php?threads/r-r-a-star-is-burns.23305/|ASTARISBURNS|A Star Is Burns|https://simpsonswiki.com/wiki/A_Star_Is_Burns|6.0
Lisa's Wedding|https://nohomers.net/forums/index.php?threads/rate-and-review-lisas-wedding.13760/|LISASWEDDING|Lisa's Wedding|https://simpsonswiki.com/wiki/Lisa%27s_Wedding|6.0
Two Dozen and One Greyhounds|https://nohomers.net/forums/index.php?threads/rate-and-review-two-dozen-one-greyhounds-2f18.13429/|TWODOZENONEGREYHOUNDS|Two Dozen and One Greyhounds|https://simpsonswiki.com/wiki/Two_Dozen_and_One_Greyhounds|6.0
The PTA Disbands|https://nohomers.net/forums/index.php?threads/rate-review-the-pta-disbands.18640/|PTADISBS|The PTA Disbands|https://simpsonswiki.com/wiki/The_PTA_Disbands|6.0
'Round Springfield|https://nohomers.net/forums/index.php?threads/r-r-round-springfield.20410/|ROUNDSPRINGFIELD|'Round Springfield|https://simpsonswiki.com/wiki/%27Round_Springfield|6.0
The Springfield Connection|https://nohomers.net/forums/index.php?threads/r-r-the-springfield-connection.15769/|SPRINGFIELDCONNECTION|The Springfield Connection|https://simpsonswiki.com/wiki/The_Springfield_Connection|6.0
Lemon of Troy|https://nohomers.net/forums/index.php?threads/rate-and-review-the-lemon-of-troy.14865/|LEMONOFTROY|Lemon of Troy|https://simpsonswiki.com/wiki/Lemon_of_Troy|6.0
Who Shot Mr Burns? (Part One)|https://nohomers.net/forums/index.php?threads/r-r-who-shot-mr-burns-part-one.16580/|WHOSHOTMRBURNS(PARTONE)|Who Shot Mr. Burns? (Part One)|https://simpsonswiki.com/wiki/Who_Shot_Mr._Burns%3F_(Part_One)|6.0
